10.2.10.163,Microsoft Visual Studio 2010 Professional 
10.2.10.163,Microsoft Visual Studio Professional 
10.2.10.163,Microsoft Visual Studio Team Foundation Server 2012 
10.2.10.163,Microsoft Visual Studio Ultimate 
10.2.10.173,Microsoft Office Standard 2010
10.2.10.184,Microsoft SQL Server 
10.2.10.184,Microsoft SQL Server 2008 
10.2.10.184,Microsoft Visual Studio 2010 Ultimate 
10.2.10.190,Microsoft SQL Server 
10.2.10.190,Microsoft SQL Server 2012 
10.2.10.190,Microsoft Visual Studio Professional 
10.2.10.190,Microsoft Visual Studio Team Foundation Server 2012 
10.2.10.190,Microsoft Visual Studio Ultimate 
10.2.10.197,Microsoft Office Standard 2010
10.2.10.208,Microsoft SQL Server 
10.2.10.208,Microsoft SQL Server 2008 
10.2.10.208,Microsoft SQL Server 2012 
10.2.10.208,Microsoft Visual Studio 2010 Professional 
10.2.10.208,Microsoft Visual Studio Professional 
10.2.10.208,Microsoft Visual Studio Team Foundation Server 2012 
10.2.10.208,Microsoft Visual Studio Ultimate 
10.2.10.209,Microsoft Office Project Professional 2010
10.2.10.209,Microsoft Office Standard 2010
10.2.10.209,Microsoft Office Visio 2010
10.2.10.209,Microsoft Project Professional 2010
10.2.10.209,Microsoft Visio Professional 2010
10.2.10.214,Microsoft Office Standard 2010
10.2.10.214,Microsoft SQL Server 
10.2.10.214,Microsoft SQL Server 2008 
10.2.10.214,Microsoft SQL Server 2012 
10.2.10.214,Microsoft Visual Studio 2010 Professional 
10.2.10.214,Microsoft Visual Studio Professional 
10.2.10.214,Microsoft Visual Studio Team Foundation Server 2012 
10.2.10.214,Microsoft Visual Studio Ultimate 
10.2.10.22,Microsoft Office Project Professional 2010
10.2.10.22,Microsoft Office Standard 2010
10.2.10.22,Microsoft Office Visio 2010
10.2.10.22,Microsoft Project Professional 2010
10.2.10.22,Microsoft Visio Professional 2010
10.2.10.228,Microsoft SQL Server 
10.2.10.228,Microsoft SQL Server 2008 
10.2.10.228,Microsoft SQL Server 2012 
10.2.10.228,Microsoft Visual Studio 2010 Professional 
10.2.10.228,SQL Server 2012 
10.2.10.244,Microsoft Office Standard 2010
10.2.10.25,Microsoft SQL Server 2008 
10.2.10.25,Microsoft SQL Server 2012 
10.2.10.25,Microsoft Visual Studio 2010 Professional 
10.2.10.25,SQL Server 2012 
10.2.10.26,Microsoft SQL Server 
10.2.10.26,Microsoft SQL Server 2008 
10.2.10.26,Microsoft SQL Server 2012 
10.2.10.26,Microsoft Visual Studio Professional 
10.2.10.26,Microsoft Visual Studio Team Foundation Server 2012 
10.2.10.26,Microsoft Visual Studio Ultimate 
10.2.10.26,SQL Server 2012 
10.2.10.36,Microsoft SQL Server 
10.2.10.36,Microsoft SQL Server 2008 
10.2.10.36,Microsoft SQL Server 2012
10.2.10.36,Microsoft Visual Studio 2010 Professional 
10.2.10.36,Microsoft Visual Studio Professional 
10.2.10.36,Microsoft Visual Studio Team Foundation Server 2012 
10.2.10.36,Microsoft Visual Studio Ultimate 
10.2.10.36,SQL Server 
10.2.10.36,SQL Server 2012 
10.2.10.37,Microsoft SQL Server 
10.2.10.37,Microsoft SQL Server 2012 
10.2.10.37,Microsoft Visual Studio Professional 
10.2.10.37,Microsoft Visual Studio Team Foundation Server 2012 
10.2.10.37,Microsoft Visual Studio Ultimate 
10.2.10.49,Microsoft Office Project Standard 2010
10.2.10.49,Microsoft Office Standard 2010
10.2.10.49,Microsoft Project Standard 2010
10.2.10.6,Microsoft Office Professional Plus 2010
10.2.10.76,Microsoft Office Professional Plus 2010
10.2.10.76,Microsoft Office Standard 2010
10.2.10.80,Microsoft SQL Server 
10.2.10.80,Microsoft SQL Server 2008 
10.2.10.80,Microsoft SQL Server 2012 
10.2.10.80,Microsoft SQL Server 2014 
10.2.10.80,Microsoft Visual Studio 2010 Professional 
10.2.10.80,Microsoft Visual Studio Team Foundation Server 2015 
10.2.10.80,SQL Server 2012 
10.2.10.81,Microsoft Office Professional Plus 2010
10.2.10.81,Microsoft Office Standard 2010
10.2.10.9,Microsoft Office Project Professional 2010
10.2.10.9,Microsoft Office Standard 2010
10.2.10.9,Microsoft Office Visio 2010
10.2.10.9,Microsoft Project Professional 2010
10.2.10.9,Microsoft SQL Server 
10.2.10.9,Microsoft SQL Server 2008 
10.2.10.9,Microsoft SQL Server 2012 
10.2.10.9,Microsoft Visio Premium 2010
10.2.10.9,Microsoft Visual Studio 2010 Professional 
10.2.10.9,SQL Server 2012 
10.2.10.90,Microsoft Access Services Server
10.2.10.90,Microsoft Word Server
10.2.100.10,Microsoft Office Standard 2010
10.2.100.115,Microsoft Office Professional Plus 2010
10.2.100.115,Microsoft Office Project Professional 2007
10.2.100.115,Microsoft Office Standard 2010
10.2.100.118,Microsoft Office Standard 2010
10.2.100.118,Microsoft OneNote
10.2.100.118,Microsoft Visio Professional 2013
10.2.100.121,Microsoft Office Professional Plus 2010
10.2.100.121,Microsoft SQL Server 2005 
10.2.100.124,Microsoft Office Standard 2010
10.2.100.127,Microsoft Office Professional Plus 2010
10.2.100.127,Microsoft Office Project Professional 2010
10.2.100.127,Microsoft Project Professional 2010
10.2.100.127,Microsoft SQL Server 
10.2.100.127,Microsoft SQL Server 2005 
10.2.100.130,Microsoft Office Standard 2010
10.2.100.133,Microsoft Office Project Professional 2010
10.2.100.133,Microsoft Office Standard 2010
10.2.100.133,Microsoft Project Professional 2010
10.2.100.135,Microsoft Office Standard 2010
10.2.100.135,Microsoft Office Visio 2010
10.2.100.135,Microsoft Visio Standard 2010
10.2.100.136,Microsoft Office Standard 2010
10.2.100.142,Microsoft Office Standard 2010
10.2.100.143,Microsoft Office Professional Plus 2007
10.2.100.143,Microsoft Office Project Professional 2010
10.2.100.143,Microsoft Project Professional 2010
10.2.100.151,Microsoft Office Professional Plus 2010
10.2.100.155,Microsoft Office Project Professional 2010
10.2.100.155,Microsoft Office Standard 2010
10.2.100.155,Microsoft Project Professional 2010
10.2.100.156,Microsoft Office Professional Plus 2010
10.2.100.156,Microsoft Office Project Professional 2010
10.2.100.156,Microsoft Office Standard 2010
10.2.100.156,Microsoft Office Visio 2010
10.2.100.156,Microsoft Project Professional 2010
10.2.100.156,Microsoft Visio Standard 2010
10.2.100.161,Microsoft Office Standard 2010
10.2.100.174,Microsoft Office Standard 2010
10.2.100.176,Microsoft Office Professional Plus 2007
10.2.100.176,Microsoft Office Standard 2010
10.2.100.176,Microsoft SQL Server 
10.2.100.176,Microsoft SQL Server 2005 
10.2.100.176,Microsoft SQL Server 2008
10.2.100.176,Microsoft Visio Professional 2013
10.2.100.178,Microsoft Office Professional Plus 2010
10.2.100.178,Microsoft SQL Server 2005 
10.2.100.18,Microsoft Office Professional Plus 2010
10.2.100.18,Microsoft Office Project Standard 2010
10.2.100.18,Microsoft Project Standard 2010
10.2.100.185,Microsoft Office Standard 2010
10.2.100.187,Microsoft Office Standard 2010
10.2.100.190,Microsoft Office Standard 2010
10.2.100.191,Microsoft Office Project Professional 2010
10.2.100.191,Microsoft Office Standard 2010
10.2.100.191,Microsoft Office Visio 2010
10.2.100.191,Microsoft Project Professional 2010
10.2.100.191,Microsoft SQL Server 
10.2.100.191,Microsoft SQL Server 2012 
10.2.100.194,Microsoft Office Professional Plus 2010
10.2.100.198,Microsoft Office Professional Plus 2010
10.2.100.198,Microsoft Office Standard 2010
10.2.100.199,Microsoft Office Standard 2010
10.2.100.209,Microsoft Office Professional Plus 2010
10.2.100.209,Microsoft Office Project Professional 2007
10.2.100.209,Microsoft Office Standard 2010
10.2.100.221,Microsoft Office Standard 2010
10.2.100.222,Microsoft Office Project Professional 2010
10.2.100.222,Microsoft Office Standard 2010
10.2.100.222,Microsoft Office Visio 2010
10.2.100.222,Microsoft Project Professional 2010
10.2.100.222,Microsoft SQL Server 
10.2.100.222,Microsoft SQL Server 2005 
10.2.100.222,Microsoft SQL Server 2008
10.2.100.222,Microsoft Visio Standard 2010
10.2.100.230,Microsoft Office Standard 2010
10.2.100.234,Microsoft Office Standard 2010
10.2.100.235,Microsoft Office Standard 2010
10.2.100.238,Microsoft Office Professional Edição 2003
10.2.100.238,Microsoft Office Standard 2010
10.2.100.239,Microsoft Office Standard 2010
10.2.100.240,Microsoft Office Standard 2010
10.2.100.241,Microsoft Office Professional Plus 2010
10.2.100.246,Microsoft Office Standard 2010
10.2.100.26,Microsoft Office Standard 2010
10.2.100.28,Microsoft Office Standard 2010
10.2.100.28,Microsoft Office Visio 2010
10.2.100.28,Microsoft Visio Standard 2010
10.2.100.4,Microsoft Office Professional Plus 2010
10.2.100.44,Microsoft Office Standard 2010
10.2.100.50,Microsoft Office Standard 2010
10.2.100.51,Microsoft Office Standard 2010
10.2.100.51,Microsoft Office Visio 2010
10.2.100.51,Microsoft Visio Standard 2010
10.2.100.53,Microsoft Office Professional Plus 2010
10.2.100.59,Microsoft SQL Server 
10.2.100.59,Microsoft SQL Server 2005
10.2.100.63,Microsoft Office Standard 2010
10.2.100.65,Microsoft Office Standard 2010
10.2.100.65,Microsoft OneNote
10.2.100.66,Microsoft Office Professional Edição 2003
10.2.100.66,Microsoft Office Visio 2010
10.2.100.66,Microsoft Office Visio Professional 2003
10.2.100.66,Microsoft Visio Standard 2010
10.2.100.69,Microsoft Office Standard 2010
10.2.100.74,Microsoft Office Project Professional 2010
10.2.100.74,Microsoft Office Standard 2010
10.2.100.74,Microsoft Office Visio 2010
10.2.100.74,Microsoft Project Professional 2010
10.2.100.74,Microsoft SQL Server 
10.2.100.74,Microsoft SQL Server 2008 
10.2.100.74,Microsoft SQL Server 2012 
10.2.100.74,Microsoft Visio Premium 2010
10.2.100.74,Microsoft Visual Studio 2010 Professional 
10.2.100.74,SQL Server 2012 
10.2.100.76,Microsoft SQL Server 
10.2.100.76,Microsoft SQL Server 2012 
10.2.100.76,Microsoft Visual Studio Premium 
10.2.100.76,Microsoft Visual Studio Professional 
10.2.100.76,Microsoft Visual Studio Team Foundation Server 2012 
10.2.100.76,Microsoft Visual Studio Ultimate 
10.2.100.83,Microsoft Office Professional Plus 2010
10.2.100.85,Microsoft Office Standard 2010
10.2.100.86,Microsoft Office Professional Plus 2010
10.2.100.86,Microsoft Office Project Professional 2010
10.2.100.86,Microsoft Project Professional 2010
10.2.100.87,Microsoft SQL Server 
10.2.100.87,Microsoft SQL Server 2008 
10.2.100.87,Microsoft SQL Server 2012 
10.2.100.87,Microsoft Visual Studio Team Foundation Server 2012 
10.2.100.87,Microsoft Visual Studio Ultimate 
10.2.100.87,SQL Server 2008 
10.2.100.88,Microsoft Office Standard 2010
10.2.100.93,Microsoft Office Standard 2010
10.2.100.95,Microsoft Office Standard 2010
10.2.100.97,Microsoft Office Professional Plus 2010
10.2.101.10,Microsoft Office Standard 2010
10.2.101.107,Microsoft Office Professional Plus 2010
10.2.101.107,Microsoft Office Standard 2010
10.2.101.108,Microsoft Office Standard 2010
10.2.101.12,Microsoft Office Professional Plus 2010
10.2.101.13,Microsoft Office Standard 2010
10.2.101.131,Microsoft Office Standard 2010
10.2.101.134,Microsoft Office Project Professional 2010
10.2.101.134,Microsoft Office Standard 2010
10.2.101.134,Microsoft Project Professional 2010
10.2.101.136,Microsoft Office Standard 2010
10.2.101.138,Microsoft Office Standard 2010
10.2.101.14,Microsoft Office Professional Plus 2007
10.2.101.140,Microsoft Office Standard 2010
10.2.101.16,Microsoft Office Standard 2010
10.2.101.169,Microsoft Office Project Professional 2010
10.2.101.169,Microsoft Office Standard 2010
10.2.101.169,Microsoft Project Professional 2010
10.2.101.170,Microsoft Office Professional Plus 2010
10.2.101.170,Microsoft Office Project Professional 2010
10.2.101.170,Microsoft Project Professional 2010
10.2.101.174,Microsoft Office Project Professional 2010
10.2.101.174,Microsoft Office Standard 2010
10.2.101.174,Microsoft Project Professional 2010
10.2.101.176,Microsoft Office Standard 2010
10.2.101.176,Microsoft Office Visio 2010
10.2.101.176,Microsoft SQL Server 2005 
10.2.101.176,Microsoft Visio Professional 2010
10.2.101.181,Microsoft Office Professional Plus 2007
10.2.101.181,Microsoft Office Standard 2010
10.2.101.19,Microsoft Office Project Professional 2010
10.2.101.19,Microsoft Office Standard 2010
10.2.101.19,Microsoft Project Professional 2010
10.2.101.190,Microsoft Office Professional Plus 2010
10.2.101.191,Microsoft Office Standard 2010
10.2.101.193,Microsoft Office Professional Plus 2010
10.2.101.195,Microsoft Office Professional Plus 2010
10.2.101.195,Microsoft Office Project Professional 2007
10.2.101.2,Microsoft Office Standard 2010
10.2.101.20,Microsoft Office Standard 2010
10.2.101.201,Microsoft Office Project Professional 2010
10.2.101.201,Microsoft Office Standard 2010
10.2.101.201,Microsoft Project Professional 2010
10.2.101.206,Microsoft Office Standard 2010
10.2.101.214,Microsoft Office Professional Plus 2010
10.2.101.22,Microsoft Office Professional Plus 2010
10.2.101.22,Microsoft Office Project Professional 2010
10.2.101.22,Microsoft Office Standard 2010
10.2.101.22,Microsoft Office Visio Professional 2007
10.2.101.22,Microsoft Project Professional 2010
10.2.101.225,Microsoft Office Standard 2007
10.2.101.225,Microsoft Office Visio Professional 2007
10.2.101.225,Microsoft SQL Server 2005 
10.2.101.227,Microsoft Office Standard 2010
10.2.101.227,Microsoft SQL Server 2005 
10.2.101.229,Microsoft Office Standard 2010
