10.2.12.10;"Visual Studio 2012 Update 4 (KB2707250)";"";"";"11.0.61030";"Microsoft Corporation"
10.2.12.10;"Windows Live Communications Platform";"20121129";"14.0";"14.0.8117.416";"Microsoft Corporation"
10.2.12.10;"Adobe AIR";"20150720";"18.0";"18.0.0.144";"Adobe Systems Incorporated"
10.2.12.10;"Pacote de Idiomas do Microsoft Visual Studio Express 2012 para Web - PTB";"";"";"11.0.50727.1";"Microsoft Corporation"
10.2.12.10;"Microsoft Visual Studio 2012 Devenv";"20150611";"11.0";"11.0.50727";"Microsoft Corporation"
10.2.12.10;"Microsoft ASP.NET Web Frameworks and Tools - Visual Studio Express 2013 for Web - PTB";"20150611";"5.2";"5.2.21010.0";"Microsoft Corporation"
10.2.12.10;"Microsoft Blend for Visual Studio 2015 RC - ENU";"20150611";"14.0";"14.0.22823";"Microsoft Corporation"
10.2.12.10;"Visual C++ MSBuild X64 Package";"20150611";"14.0";"14.0.22823";"Microsoft Corporation"
10.2.12.10;"Módulo de Segurança - Banco do Brasil";"20150326";"";"3.12.1.2";""
10.2.12.10;"Uninstall Finalizer";"20150611";"2.6";"2.6.30508.1601";"Microsoft Corporation"
10.2.12.10;"Microsoft Visual C++ 2012 Compilers";"20150611";"11.0";"11.0.61030";"Microsoft Corporation"
10.2.12.10;"Dotfuscator and Analytics Community Edition";"20150610";"5.5";"5.5.4521.29298";"PreEmptive Solutions"
10.2.12.10;"Windows Software Development Kit for Windows Store Apps";"20150611";"8.100";"8.100.26936";"Microsoft Corporation"
10.2.12.10;"Pacote de Idiomas do Team Explorer para Microsoft Visual Studio 2013 - PTB";"20150611";"12.0";"12.0.21005";"Microsoft Corporation"
10.2.12.10;"Microsoft Visual Studio 2010 Shell (Isolated) - PTB";"20150610";"10.0";"10.0.40219";"Microsoft Corporation"
10.2.12.10;"Blend for Visual Studio SDK for .NET 4.5";"20150611";"3.0";"3.0.40218.0";"Microsoft Corporation"
10.2.12.10;"Roslyn Language Services - x86";"20150611";"14.0";"14.0.22823";"Microsoft Corporation"
10.2.12.10;"Microsoft Azure Tools for Microsoft Visual Studio 2013 - v2.6";"";"";"2.6.30508.1601";"Microsoft Corporation"
10.2.12.10;"Microsoft Visual Studio 2012 Shell (Minimum) Resources";"20150611";"11.0";"11.0.50727";"Microsoft Corporation"
10.2.12.10;"Microsoft Visual Studio 2015 RC Devenv Resources";"20150611";"14.0";"14.0.22823";"Microsoft Corporation"
10.2.12.10;"WCF RIA Services V1.0 SP2";"20150610";"4.1";"4.1.61829.0";"Microsoft Corporation"
10.2.12.10;"Microsoft ASP.NET Web Frameworks and Tools - Visual Studio Express 2013 for Web - ENU";"20150611";"5.2";"5.2.21010.0";"Microsoft Corporation"
10.2.12.10;"AzureTools.Notifications.VwdExpress";"20150611";"2.6";"2.6.30508.1601";"Microsoft Corporation"
10.2.12.10;"Visual C++ Library PGO X86 Package";"20150611";"14.0";"14.0.22816";"Microsoft Corporation"
10.2.12.10;"Visual C++ Library PGO ARM Package";"20150611";"14.0";"14.0.22816";"Microsoft Corporation"
10.2.12.10;"Microsoft Azure Tools for Microsoft Visual Studio 2015 - v2.6";"20150611";"2.6";"2.6.30508.1601";"Microsoft Corporation"
10.2.12.10;"Visual C++ IDE Common Resource Package";"20150611";"14.0";"14.0.22823";"Microsoft Corporation"
10.2.12.10;"Microsoft ASP.NET Web Frameworks and Tools - Visual Studio 2015 RC - ENU";"20150611";"5.2";"5.2.30411.0";"Microsoft Corporation"
10.2.12.10;"Entity Framework Designer for Visual Studio 2012 - enu";"20150611";"11.1";"11.1.30729.00";"Microsoft Corporation"
10.2.12.10;"Visual C++ Professional Shared Templates Package";"20150611";"14.0";"14.0.22823";"Microsoft Corporation"
10.2.12.10;"Multi-Device Hybrid Apps using C# - Templates - ENU";"20150611";"14.0";"14.0.22823";"Microsoft Corporation"
10.2.12.10;"Visual C++ Compiler/Tools Premium X86 ARM Cross Resource Package";"20150611";"14.0";"14.0.22816";"Microsoft Corporation"
10.2.12.10;"Microsoft Visual Studio Express 2012 for Web - ENU";"20150611";"11.0";"11.0.50727";"Microsoft Corporation"
10.2.12.10;"Windows Software Development Kit for Windows Store Apps DirectX x86 Remote";"20150610";"8.59";"8.59.25584";"Microsoft Corporation"
10.2.12.10;"Visual F# 4.0 VS";"20150611";"14.0";"14.0.22810";"Microsoft Corporation"
10.2.12.10;"Microsoft Azure Shared Components for Visual Studio 2013 - v1.4";"20150611";"1.4";"1.4.30416.1601";"Microsoft Corporation"
10.2.12.10;"Recursos do Shell do Microsoft Visual Studio 2013 (Mínimo)";"20150611";"12.0";"12.0.21005";"Microsoft Corporation"
10.2.12.10;"Universal CRT Redistributable";"20150611";"10.0";"10.0.10058";"Microsoft Corporation"
10.2.12.10;"Microsoft Azure Shared Components for Visual Studio 2012 - v1.4";"20150611";"1.4";"1.4.30416.1601";"Microsoft Corporation"
10.2.12.10;"Windows Azure Tools for LightSwitch HTML Client for Visual Studio 2012";"20150611";"1.8";"1.8.60301.1601";"Microsoft"
10.2.12.10;"BizAgi Process Modeler";"20140605";"1.4";"1.4.0.0";"Nome de sua empresa:"
10.2.12.10;"Microsoft Azure Mobile App SDK V1.0";"20150611";"1.0";"1.0.30320.0";"Microsoft Corporation"
10.2.12.10;"Self-service Plug-in";"20150201";"4.1";"4.1.0.41738";"Citrix Systems, Inc."
10.2.12.10;"Microsoft C++ REST SDK for Visual Studio 2013";"20150611";"1.0";"1.0";"Microsoft Corporation"
10.2.12.10;"Microsoft SQL Server 2014 T-SQL Language Service ";"20150611";"12.0";"12.0.2000.8";"Microsoft Corporation"
10.2.12.10;"Microsoft Visual Studio Ultimate 2012 XAML UI Designer ptb Resources";"20150611";"11.0";"11.0.50727";"Microsoft Corporation"
10.2.12.10;"Install Finalizer";"20150611";"2.6";"2.6.30508.1601";"Microsoft Corporation"
10.2.12.10;"Microsoft Visual Studio 2013 Team Explorer Language Pack - ENU";"20150611";"12.0";"12.0.21005";"Microsoft Corporation"
10.2.12.10;"Java Auto Updater";"20140605";"2.1";"2.1.60.19";"Oracle, Inc."
10.2.12.10;"Microsoft Visual Studio Connected Services";"20150611";"14.0";"14.0.22823";"Microsoft Corporation"
10.2.12.10;"Visual C++ IDE Windows Express Plus Package";"20150611";"14.0";"14.0.22823";"Microsoft Corporation"
10.2.12.10;"Microsoft .NET Framework 4.5 SDK";"20150611";"4.5";"4.5.50710";"Microsoft Corporation"
10.2.12.10;"Microsoft Azure Storage for Connected Services";"20150611";"14.0";"14.0.22823";"Microsoft Corporation"
10.2.12.10;"WCF Data Services Tools for Microsoft Visual Studio 2014";"20150611";"5.6";"5.6.61937.2";"Microsoft Corporation"
10.2.12.10;"Microsoft Visual Studio 2015 Profiling Tools";"20150611";"14.0";"14.0.22823";"Microsoft Corporation"
10.2.12.10;"Visual C++ Library ATL Source Package";"20150611";"14.0";"14.0.22816";"Microsoft Corporation"
10.2.12.10;"Visual C++ Library CRT X64 Store Package";"20150611";"14.0";"14.0.22816";"Microsoft Corporation"
10.2.12.10;"Microsoft ASP.NET MVC 4 - Visual Studio Express 2012 for Web - ENU";"20150611";"4.1";"4.1.20219.0";"Microsoft Corporation"
10.2.12.10;"Assistente de Conexão do Windows Live";"20121129";"5.0";"5.000.818.5";"Microsoft Corporation"
10.2.12.10;"Microsoft Azure Tools for Microsoft Visual Studio 2012 - v2.6";"";"";"2.6.30508.1601";"Microsoft Corporation"
10.2.12.10;"Blend for Visual Studio 2012 ENU resources";"20150611";"5.0";"5.0.30709.0";"Microsoft Corporation"
10.2.12.10;"Visual Studio 2013 Update 4 (KB2829760)";"";"";"12.0.31101";"Microsoft Corporation"
10.2.12.10;"Microsoft Visual Studio 2013 Shell (Minimum)";"20150611";"12.0";"12.0.21005";"Microsoft Corporation"
10.2.12.10;"Microsoft Azure Tools for Microsoft Visual Studio 2012 Core";"20150611";"2.6";"2.6.30508.1601";"Microsoft Corporation"
10.2.12.10;"Preparação do Microsoft Visual Studio 2012";"20150611";"11.0";"11.0.50727";"Microsoft Corporation"
10.2.12.10;"Visual C++ Compiler/Tools Premium X86 Native Package";"20150611";"14.0";"14.0.22816";"Microsoft Corporation"
10.2.12.10;"Microsoft Visual Studio 2015 RC Diagnostic Tools - x86";"20150611";"14.0";"14.0.22823";"Microsoft Corporation"
10.2.12.10;"TypeScript Power Tool";"20150611";"1.4";"1.4.3.0";"Microsoft Corporation"
10.2.12.10;"Windows Software Development Kit for Windows Store Apps DirectX x86 Remote";"20150611";"8.100";"8.100.26936";"Microsoft Corporation"
10.2.12.10;"Microsoft .NET Framework 4.5 Multi-Targeting Pack";"20150611";"4.5";"4.5.50710";"Microsoft Corporation"
10.2.12.10;"Microsoft NuGet - Visual Studio 2012";"20150611";"2.6";"2.6.40627.9000";"Microsoft Corporation"
10.2.12.10;"Test Tools for Microsoft Visual Studio 2015 RC";"20150611";"14.0";"14.0.22823";"Microsoft Corporation"
10.2.12.10;"Blend for Visual Studio 2012";"20150611";"5.0";"5.0.30709.0";"Microsoft Corporation"
10.2.12.10;"Microsoft Report Viewer 2012 Runtime";"20150610";"11.0";"11.0.2100.60";"Microsoft Corporation"
10.2.12.10;"Windows Live Call";"20121129";"14.0";"14.0.8117.0416";"Microsoft Corporation"
10.2.12.10;"Behaviors SDK (Windows Phone) for Visual Studio 2013";"20150611";"12.0";"12.0.50716.0";"Microsoft Corporation"
10.2.12.10;"Uninstall Finalizer";"20150611";"2.6";"2.6.30508.1601";"Microsoft Corporation"
10.2.12.10;"Microsoft Visual Studio Express 2012 para Web - PTB";"20150611";"11.0";"11.0.50727";"Microsoft Corporation"
10.2.12.10;"Microsoft Visual Studio Express 2015 RC for Web - ENU";"20150611";"14.0";"14.0.22823";"Microsoft Corporation"
10.2.12.10;"Microsoft Visual Studio Express 2013 for Web - ENU";"20150611";"12.0";"12.0.21005";"Microsoft Corporation"
10.2.12.10;"GBBD Caixa Economica Federal";"20150721";"";"3.12.0.2";""
10.2.12.10;"Uninstall Finalizer";"20150611";"2.6";"2.6.30508.1601";"Microsoft Corporation"
10.2.12.10;"Windows Software Development Kit";"20150611";"8.59";"8.59.29989";"Microsoft Corporation"
10.2.12.10;"Microsoft ASP.NET Visual Studio 2012 Uninstall Finalizer";"20150611";"4.1";"4.1.20219.0";"Microsoft Corporation"
10.2.12.10;"Microsoft Visual C++ 2010  x86 Runtime - 10.0.40219";"20150610";"10.0";"10.0.40219";"Microsoft Corporation"
10.2.12.10;"Visual C++ MSBuild Base Resource Package";"20150611";"14.0";"14.0.22823";"Microsoft Corporation"
10.2.12.10;"Citrix Receiver Updater";"20150201";"4.1";"4.1.0.56461";"Citrix Systems, Inc."
10.2.12.10;"Microsoft Visual Studio Community 2015 RC - ENU";"20150611";"14.0";"14.0.22823";"Microsoft Corporation"
10.2.12.10;"TypeScript Power Tool";"20150611";"1.0";"1.0.5.0";"Microsoft Corporation"
10.2.12.10;"Google Update Helper";"20150715";"1.3";"1.3.28.1";"Google Inc."
10.2.12.10;"Microsoft Visual Studio Express 2012 for Web - ENU";"20150611";"11.0";"11.0.50727";"Microsoft Corporation"
10.2.12.10;"LocalESPC";"20150611";"8.59";"8.59.29989";"Microsoft Corporation"
10.2.12.10;"Microsoft ASP.NET Web Pages 2 - Visual Studio Express 2012 for Web - ENU";"20150611";"4.1";"4.1.20219.0";"Microsoft Corporation"
10.2.12.10;"Visual C++ IDE Common Package";"20150611";"14.0";"14.0.22823";"Microsoft Corporation"
10.2.12.10;"Microsoft ASP.NET Web Pages";"20150610";"1.0";"1.0.20105.0";"Microsoft Corporation"
10.2.12.10;"Microsoft Visual Studio 2015 RC Diagnostic Tools - x86";"20150611";"14.0";"14.0.22823";"Microsoft Corporation"
10.2.12.10;"Visual C++ Compiler/Tools Premium X86 Base Resource Package";"20150611";"14.0";"14.0.22816";"Microsoft Corporation"
10.2.12.10;"Intel(R) Management Engine Components";"";"8.0";"8.0.3.1427";"Intel Corporation"
10.2.12.10;"Microsoft Visual C++ 2012 Compilers - ENU Resources";"20150611";"11.0";"11.0.61030";"Microsoft Corporation"
10.2.12.10;"Microsoft Visual Studio 2013 XAML UI Designer - ENU";"20150611";"12.0";"12.0.31101";"Microsoft Corporation"
10.2.12.10;"Microsoft SQL Server Data Tools Build Utilities - enu (12.0.30919.1)";"20150611";"12.0";"12.0.30919.1";"Microsoft Corporation"
10.2.12.10;"Visual C++ IDE Debugger Package";"20150611";"14.0";"14.0.22823";"Microsoft Corporation"
10.2.12.10;"Microsoft Azure Tools for Microsoft Visual Studio 2015 Core";"20150611";"2.6";"2.6.30508.1601";"Microsoft Corporation"
10.2.12.10;"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack";"20150611";"4.5";"4.5.50932";"Microsoft Corporation"
10.2.12.10;"LibreOffice 4.2.4.2";"20141120";"4.2";"4.2.4.2";"The Document Foundation"
10.2.12.10;"Microsoft SQL Server Data Tools Build Utilities - PTB (12.0.30919.1)";"20150611";"12.0";"12.0.30919.1";"Microsoft Corporation"
10.2.12.10;"Tools for Apache Cordova - Templates - ENU";"20150611";"14.0";"14.0.22823";"Microsoft Corporation"
10.2.12.10;"Microsoft SQL Server System CLR Types";"20150610";"10.51";"10.51.2500.0";"Microsoft Corporation"
10.2.12.10;"Visual C++ Compiler/Tools Premium X86 Base Package";"20150611";"14.0";"14.0.22816";"Microsoft Corporation"
10.2.12.10;"Microsoft Visual Studio Team Foundation Server 2012 Team Explorer";"20150611";"11.0";"11.0.50727";"Microsoft Corporation"
10.2.12.10;"Microsoft Visual Studio 2015 RC XAML Visual Diagnostics - ENU";"20150611";"14.0";"14.0.22823";"Microsoft Corporation"
10.2.12.10;"Microsoft ASP.NET Web Pages - Visual Studio 2012 Tools";"20150610";"1.0";"1.0.20710.0";"Microsoft Corporation"
10.2.12.10;"Microsoft Visual Studio 2015 RC XAML Application Timeline";"20150611";"14.0";"14.0.22823";"Microsoft Corporation"
10.2.12.10;"Visual C++ Compiler/Tools Premium X64 Native Package";"20150611";"14.0";"14.0.22816";"Microsoft Corporation"
10.2.12.10;"ThinkVantage Password Manager";"20141120";"4.60";"4.60.4.0";"Lenovo Group Limited"
10.2.12.10;"Microsoft Visual C++ 2005 Redistributable";"20121129";"8.0";"8.0.61001";"Microsoft Corporation"
10.2.12.10;"Microsoft Visual C++ 2015 RC Redistributable (x86) - 14.0.22816";"";"";"14.0.22816.0";"Microsoft Corporation"
