10.2.43.239;"Atualização de Segurança para Windows XP (KB2631813)";"20120111";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2633171)";"20111215";"";"1";"Microsoft Corporation"
10.2.43.239;"Hotfix para Windows XP (KB2633952)";"20111215";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2639417)";"20111215";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2641653)";"20120315";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização para Windows XP (KB2641690)";"20111111";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2646524)";"20120111";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows Internet Explorer 7 (KB2647516)";"20120216";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2647518)";"20120315";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2653956)";"20120412";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2655992)";"20120712";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2659262)";"20120510";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2660465)";"20120216";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização para Windows XP (KB2661254-v2)";"20121010";"";"2";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2661637)";"20120216";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows Internet Explorer 7 (KB2675157)";"20120412";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2676562)";"20120510";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2685939)";"20120712";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2686509)";"20120510";"";"1";"Microsoft Corporation"
