10.2.8.220;"AVG Security Toolbar";"";"";"18.7.0.147";"AVG Technologies"
10.2.8.220;"Security Update for Microsoft .NET Framework 4 Client Profile (KB2972215)";"";"";"1";"Microsoft Corporation"
10.2.8.220;"Windows PE x86 x64";"20140208";"8.59";"8.59.25584";"Microsoft"
10.2.8.220;"Assessment and Deployment Kit";"";"";"8.59.25584";"Microsoft Corporation"
10.2.8.220;"LibreOffice 4.0.4.2";"20140513";"4.0";"4.0.4.2";"The Document Foundation"
10.2.8.220;"Service Pack 2 for SQL Server 2008 R2 (KB2630458) (64-bit)";"20140206";"";"10.52.4000.0";"Microsoft Corporation"
10.2.8.220;"Hotfix 4297 for SQL Server 2008 R2 (KB2908087) (64-bit)";"20150612";"";"10.52.4297.0";"Microsoft Corporation"
10.2.8.220;"Microsoft .NET Framework 4 Client Profile";"";"";"4.0.30319";"Microsoft Corporation"
10.2.8.220;"Microsoft .NET Framework 4 Extended";"";"";"4.0.30319";"Microsoft Corporation"
10.2.8.220;"Microsoft Help Viewer 1.1";"";"";"1.1.40219";"Microsoft Corporation"
10.2.8.220;"Microsoft SQL Server 2008 R2 (64-bit)";"";"";"";"Microsoft Corporation"
10.2.8.220;"Microsoft SQL Server 2008 R2 (64-bit)";"";"";"";"Microsoft Corporation"
10.2.8.220;"Intel(R) Network Connections Drivers";"";"18.0";"18.0";"Intel"
10.2.8.220;"Microsoft System Center 2012 Configuration Manager Primary Site Setup";"";"";"5.00.7804.1000";"Microsoft Corporation"
10.2.8.220;"SNMP Informant Agent (Standard Edition)";"20140205";"";"1.6";"Informant Systems, Inc."
10.2.8.220;"SQL Server 2008 R2 Reporting Services";"20140206";"10.50";"10.50.1600.1";"Microsoft Corporation"
10.2.8.220;"Microsoft SQL Server 2012 Transact-SQL ScriptDom ";"20140208";"11.0";"11.0.2100.60";"Microsoft Corporation"
10.2.8.220;"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"20140203";"10.0";"10.0.40219";"Microsoft Corporation"
10.2.8.220;"SQL Server 2008 R2 SP2 Common Files";"20140206";"10.52";"10.52.4000.0";"Microsoft Corporation"
10.2.8.220;"SQL Server 2008 R2 SP2 Reporting Services";"20140206";"10.52";"10.52.4000.0";"Microsoft Corporation"
10.2.8.220;"Java 7 Update 51 (64-bit)";"20140325";"7.0";"7.0.510";"Oracle"
10.2.8.220;"Microsoft SQL Server 2008 R2 Setup (English)";"20140206";"10.52";"10.52.4297.0";"Microsoft Corporation"
10.2.8.220;"SQL Server 2008 R2 SP2 Client Tools";"20140206";"10.52";"10.52.4000.0";"Microsoft Corporation"
10.2.8.220;"Sophos Patch Agent";"20150423";"1.0";"1.0.308.0";"Sophos Limited"
10.2.8.220;"Windows Automated Installation Kit";"20131211";"2.0";"2.0.0.0";"Microsoft Corporation"
10.2.8.220;"ConfigMgr Fallback Status Point";"20140417";"5.0";"5.00.7804.1000";"Microsoft Corporation"
10.2.8.220;"SQL Server 2008 R2 SP2 Common Files";"20140206";"10.52";"10.52.4000.0";"Microsoft Corporation"
10.2.8.220;"Microsoft VSS Writer for SQL Server 2012";"20140208";"11.0";"11.0.2100.60";"Microsoft Corporation"
10.2.8.220;"Microsoft SQL Server System CLR Types (x64)";"20140206";"10.52";"10.52.4000.0";"Microsoft Corporation"
10.2.8.220;"Microsoft SQL Server 2012 Native Client ";"20140208";"11.0";"11.0.2100.60";"Microsoft Corporation"
10.2.8.220;"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148";"20140208";"9.0";"9.0.30729.4148";"Microsoft Corporation"
10.2.8.220;"SQL Server 2008 R2 SP2 Management Studio";"20140206";"10.52";"10.52.4000.0";"Microsoft Corporation"
10.2.8.220;"Application Web Service";"20140417";"5.0";"5.00.7804.1000";"Microsoft Corporation"
10.2.8.220;"Portal Web Site";"20140417";"5.0";"5.00.7804.1000";"Microsoft Corporation"
10.2.8.220;"Microsoft SQL Server 2008 R2 RsFx Driver";"20140206";"10.52";"10.52.4297.0";"Microsoft Corporation"
10.2.8.220;"Attunity Oracle CDC Service";"20140206";"11.1";"11.1.3401.0";"Microsoft Corporation"
10.2.8.220;"Visual Studio 2010 Prerequisites - English";"20140203";"10.0";"10.0.40219";"Microsoft Corporation"
10.2.8.220;"ConfigMgr Reporting Services Point";"20140214";"5.0";"5.00.7804.1000";"Microsoft Corporation"
10.2.8.220;"ConfigMgr Management Point";"20150302";"5.0";"5.00.7804.1000";"Microsoft Corporation"
10.2.8.220;"SQL Server 2008 R2 SP2 Management Studio";"20140206";"10.52";"10.52.4000.0";"Microsoft Corporation"
10.2.8.220;"Microsoft SQL Server 2008 R2 Native Client";"20140206";"10.52";"10.52.4297.0";"Microsoft Corporation"
10.2.8.220;"Application Compatibility Toolkit";"20140208";"8.59";"8.59.25584";"Microsoft"
10.2.8.220;"BGB http proxy";"20150302";"5.0";"5.00.7804.1000";"Microsoft Corporation"
10.2.8.220;"Microsoft .NET Framework 4 Extended";"20140920";"4.0";"4.0.30319";"Microsoft Corporation"
10.2.8.220;"Microsoft Policy Platform";"20140219";"1.2";"1.2.3602.0";"Microsoft Corporation"
10.2.8.220;"Microsoft Application Error Reporting";"20131210";"12.0";"12.0.6015.5000";"Microsoft Corporation"
10.2.8.220;"SQL Server 2008 R2 SP2 Database Engine Shared";"20140206";"10.52";"10.52.4000.0";"Microsoft Corporation"
10.2.8.220;"Microsoft Visual C++ 2005 Redistributable (x64)";"20140219";"8.0";"8.0.61000";"Microsoft Corporation"
10.2.8.220;"Microsoft SQL Server 2008 Setup Support Files ";"20140206";"10.1";"10.1.2731.0";"Microsoft Corporation"
10.2.8.220;"SQL Server 2008 R2 SP2 Client Tools";"20140206";"10.52";"10.52.4000.0";"Microsoft Corporation"
10.2.8.220;"SQL Server 2008 R2 SP2 Database Engine Shared";"20140206";"10.52";"10.52.4000.0";"Microsoft Corporation"
10.2.8.220;"Configuration Manager Client";"20140526";"5.0";"5.00.7804.1000";"Microsoft Corporation"
10.2.8.220;"Asset Intelligence Update Service Point";"20150612";"5.0";"5.00.7804.1000";"Microsoft Corporation"
10.2.8.220;"Microsoft Help Viewer 1.1";"20140203";"1.1";"1.1.40219";"Microsoft Corporation"
10.2.8.220;"SCCM Multicast Service Point";"20140417";"5.0";"5.00.7804.1000";"Microsoft Corporation"
10.2.8.220;"Sql Server Customer Experience Improvement Program";"20140206";"10.50";"10.50.1600.1";"Microsoft Corporation"
10.2.8.220;"Microsoft .NET Framework 4 Client Profile";"20140920";"4.0";"4.0.30319";"Microsoft Corporation"
10.2.8.220;"SQL Server 2008 R2 SP2 Database Engine Services";"20140206";"10.52";"10.52.4000.0";"Microsoft Corporation"
10.2.8.220;"SQL Server 2008 R2 SP2 Database Engine Services";"20140206";"10.52";"10.52.4000.0";"Microsoft Corporation"
10.2.8.220;"Microsoft Windows Server 2008 R2 Enterprise ";"20131107153118.000000-120";"6.1.7601";"6.1.7601";"Microsoft Corporation"
