10.2.11.171;"Crystal Reports for Visual Studio";"20150210";"12.51";"12.51.0.240";"SAP"
10.2.11.171;"Adobe Refresh Manager";"20150716";"1.8";"1.8.0";"Adobe Systems Incorporated"
10.2.11.171;"Adobe Reader XI (11.0.10) - Português";"20150131";"11.0";"11.0.10";"Adobe Systems Incorporated"
10.2.11.171;"Microsoft SQL Server Database Publishing Wizard 1.4";"20150210";"10.1";"10.1.2512.8";"Microsoft Corporation"
10.2.11.171;"Microsoft SQL Server 2008 R2 Management Objects";"20150204";"10.51";"10.51.2500.0";"Microsoft Corporation"
10.2.11.171;"Citrix Receiver(DV)";"20150131";"14.1";"14.1.0.0";"Citrix Systems, Inc."
10.2.11.171;"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4974";"20150204";"9.0";"9.0.30729.4974";"Microsoft Corporation"
10.2.11.171;"Microsoft SQL Server 2008 R2 Data-Tier Application Framework";"20150212";"10.50";"10.50.1750.9";"Microsoft Corporation"
10.2.11.171;"Citrix Receiver (HDX Flash Redirection)";"20150131";"14.1";"14.1.0.0";"Citrix Systems, Inc."
10.2.11.171;"Microsoft ASP.NET Web Pages 2 - Visual Studio 2010 Tools";"20150213";"2.0";"2.0.20710.0";"Microsoft Corporation"
10.2.11.171;"Google Talk Plugin";"20150421";"5.41";"5.41.2.0";"Google"
10.2.11.171;"Citrix Authentication Manager";"20150131";"5.1";"5.1.0.62606";"Citrix Systems, Inc."
10.2.11.171;"Apontamentos BRQ";"20150408";"2.0";"2.0.0";"BRQ"
10.2.11.171;"Microsoft Report Viewer Redistributable 2008 (KB971119)";"20150202";"9.0";"9.0.30731";"Microsoft Corporation"
10.2.11.171;"Microsoft .NET Framework 4 Multi-Targeting Pack";"20150210";"4.0";"4.0.30319";"Microsoft Corporation"
10.2.11.171;"Microsoft ASP.NET MVC 4 - Visual Studio 2010 Tools";"20150213";"4.0";"4.0.20710.0";"Microsoft Corporation"
10.2.11.171;"Microsoft Visual Studio 2010 Professional - ENU";"20150213";"10.0";"10.0.40219";"Microsoft Corporation"
10.2.11.171;"Hotfix for Microsoft Visual Studio 2010 Professional - ENU (KB2581019)";"";"";"1";"Microsoft Corporation"
10.2.11.171;"Hotfix for Microsoft Visual Studio 2010 Professional - ENU (KB2591016)";"";"";"1";"Microsoft Corporation"
10.2.11.171;"Sophos Anti-Virus";"20150731";"10.3";"10.3.15";"Sophos Limited"
10.2.11.171;"WCF RIA Services V1.0 SP1";"20150204";"4.1";"4.1.60114.0";"Microsoft Corporation"
10.2.11.171;"Citrix Receiver Inside";"20150131";"4.1";"4.1.0.56471";"Citrix Systems, Inc."
10.2.11.171;"Microsoft Visual Studio 2010 Service Pack 1";"20150212";"10.0";"10.0.40219";"Microsoft Corporation"
10.2.11.171;"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219";"20150204";"10.0";"10.0.40219";"Microsoft Corporation"
10.2.11.171;"Microsoft Choice Guard";"20121129";"2.0";"2.0.48.0";"Microsoft Corporation"
10.2.11.171;"Intel(R) Processor Graphics";"";"8.15";"8.15.10.2752";"Intel Corporation"
10.2.11.171;"Realtek High Definition Audio Driver";"";"";"6.0.1.6482";"Realtek Semiconductor Corp."
10.2.11.171;"Online Plug-in";"20150131";"14.1";"14.1.0.0";"Citrix Systems, Inc."
