10.2.101.63;"FTDownloader";"";"";"2.1 Build 26473";"FTDownloader.com"
10.2.101.63;"Microsoft .NET Framework 4.5 Multi-Targeting Pack";"20130215";"4.5";"4.5.50709";"Microsoft Corporation"
10.2.101.63;"Microsoft Visual C++ 2010  x86 Runtime - 10.0.40219";"20130311";"10.0";"10.0.40219";"Microsoft Corporation"
10.2.101.63;"Citrix Receiver Updater";"20140926";"4.1";"4.1.0.56461";"Citrix Systems, Inc."
10.2.101.63;"Windows Software Development Kit";"20130215";"8.59";"8.59.25584";"Microsoft Corporation"
10.2.101.63;"Google Update Helper";"20150205";"1.3";"1.3.26.9";"Google Inc."
10.2.101.63;"swMSM";"20130128";"12.0";"12.0.0.1";"Adobe Systems, Inc"
10.2.101.63;"Microsoft ASP.NET Web Pages";"20130214";"1.0";"1.0.20105.0";"Microsoft Corporation"
10.2.101.63;"Google Chrome";"20130128";"65.61";"65.61.49249";"Google, Inc."
10.2.101.63;"Windows Live Mesh";"20130125";"15.4";"15.4.3502.0922";"Microsoft Corporation"
10.2.101.63;"Cisco EAP-FAST Module";"20130128";"2.2";"2.2.14";"Cisco Systems, Inc."
10.2.101.63;"Microsoft SQL Server Compact 3.5 SP1 Query Tools English";"20130207";"3.5";"3.5.5692.0";"Microsoft Corporation"
10.2.101.63;"Intel(R) Management Engine Components";"";"8.0";"8.0.4.1441";"Intel Corporation"
10.2.101.63;"Microsoft Visual Studio Team System 2008 Development Edition - ENU";"20131125";"9.0";"9.0.21022";"Microsoft Corporation"
10.2.101.63;"Microsoft Document Explorer 2008";"20131125";"9.0";"9.0.21022";"Microsoft Corporation"
10.2.101.63;"Windows Live SOXE";"20130125";"15.4";"15.4.3502.0922";"Microsoft Corporation"
10.2.101.63;"Oracle Data Provider for .NET Help";"20150428";"11.2";"11.2.010";"Oracle Corporation"
10.2.101.63;"Windows Mobile 5.0 SDK R2 for Pocket PC";"20131125";"5.0";"5.00.1700.5.14343.06";"Microsoft Corporation"
10.2.101.63;"Microsoft Visual Studio Macro Tools";"20130311";"9.0";"9.0.30729";"Microsoft Corporation"
10.2.101.63;"Security Update for Microsoft Visual Studio Macro Tools (KB2669970)";"";"";"1";"Microsoft Corporation"
10.2.101.63;"Microsoft SQL Server 2012 T-SQL Language Service ";"20130215";"11.0";"11.0.2100.60";"Microsoft Corporation"
10.2.101.63;"Microsoft Visual Studio Team Foundation Server 2012 Team Explorer";"20130215";"11.0";"11.0.50727";"Microsoft Corporation"
10.2.101.63;"Microsoft ASP.NET Web Pages - Visual Studio 2012 Tools";"20130215";"1.0";"1.0.20710.0";"Microsoft Corporation"
10.2.101.63;"Microsoft Visual Studio Premium 2012 - ENU";"20130215";"11.0";"11.0.50727";"Microsoft Corporation"
10.2.101.63;"BDE";"20130208";"5.20";"5.20.00";"RM Sistemas SA"
10.2.101.63;"Microsoft Visual C++ 2005 Redistributable";"20150428";"8.0";"8.0.56336";"Microsoft Corporation"
10.2.101.63;"Microsoft Visual C++ 2012 Extended Libraries";"20130215";"11.0";"11.0.50727";"Microsoft Corporation"
10.2.101.63;"Microsoft LightSwitch for Visual Studio 2012 Core";"20130215";"11.0";"11.0.50727";"Microsoft Corporation"
10.2.101.63;"Microsoft SQL Server 2008 R2 Management Objects";"20130214";"10.50";"10.50.1750.9";"Microsoft Corporation"
10.2.101.63;"Apple Software Update";"20140729";"2.1";"2.1.3.127";"Apple Inc."
10.2.101.63;"Windows Live Messenger Companion Core";"20130125";"15.4";"15.4.3502.0922";"Microsoft Corporation"
10.2.101.63;"Microsoft SQL Server Data Tools Build Utilities - enu (11.1.20627.00)";"20130215";"11.1";"11.1.20627.00";"Microsoft Corporation"
10.2.101.63;"Microsoft SQL Server 2008 R2 Data-Tier Application Project";"20130214";"10.50";"10.50.1750.9";"Microsoft Corporation"
10.2.101.63;"Sophos AutoUpdate";"20150731";"4.3";"4.3.10.27";"Sophos Limited"
10.2.101.63;"Microsoft Visual Studio 2012 Shell (Minimum)";"20130311";"11.0";"11.0.50727";"Microsoft Corporation"
10.2.101.63;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2280741)";"";"";"1";"Microsoft Corporation"
10.2.101.63;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2284668)";"";"";"1";"Microsoft Corporation"
10.2.101.63;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2295689)";"";"";"1";"Microsoft Corporation"
10.2.101.63;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2420513)";"";"";"1";"Microsoft Corporation"
10.2.101.63;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2452649)";"";"";"1";"Microsoft Corporation"
10.2.101.63;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2455033)";"";"";"1";"Microsoft Corporation"
