10.2.100.66;"soapUI 4.5.1 4.5.1";"";"4.5";"4.5.1";"SmartBear Software"
10.2.100.66;"Security Update for Windows Internet Explorer 7 (KB2870699)";"20130924";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows Internet Explorer 8 (KB2870699)";"20130924";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2876217)";"20131019";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2876331)";"20150723";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows Internet Explorer 8 (KB2879017)";"20131019";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2883150)";"20131019";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2892075)";"20150723";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2893294)";"20150723";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2898715)";"20150723";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2900986)";"20150723";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows Internet Explorer 8 (KB2909210)";"20150723";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows Internet Explorer 8 (KB2909921)";"20150723";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2914368)";"20150723";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2916036)";"20150723";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2922229)";"20150723";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2929961)";"20150723";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2930275)";"20150723";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows Internet Explorer 8 (KB2964358)";"20140922";"";"1";"Microsoft Corporation"
10.2.100.66;"High Definition Audio Driver Package - KB888111";"";"";"20040219.000000";"Microsoft Corporation"
10.2.100.66;"Update for Windows XP (KB898461)";"";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB923561)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB923789)";"";"";"";"Microsoft Corporation"
10.2.100.66;"Update for Windows XP (KB943729)";"20150723";"";"";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB946648)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB950762)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB950974)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB951376-v2)";"20110709";"";"2";"Microsoft Corporation"
10.2.100.66;"Update for Windows XP (KB951978)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB952004)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows Media Player (KB952069)";"20110709";"";"";"Microsoft Corporation"
10.2.100.66;"Hotfix for Windows XP (KB952287)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB952954)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Hotfix for Windows XP (KB953955)";"20141202";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows Media Player (KB954155)";"20110709";"";"";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB954459)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Update for Windows XP (KB955759)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB956572)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB956744)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB956802)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB956844)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB958644)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB959426)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB960803)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB960859)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB961501)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Update for Windows XP (KB961503)";"20110709";"";"1";"Microsoft Corporation"
