10.22.29.2;"Mesh Runtime";"20121207";"15.4";"15.4.5722.2";"Microsoft Corporation"
10.22.29.2;"MSVCRT";"20121207";"15.4";"15.4.2862.0708";"Microsoft"
10.22.29.2;"MySQL For Excel 1.2.0";"20140224";"1.2";"1.2.0";"Oracle"
10.22.29.2;"Microsoft Office Professional Plus 2010";"20141102";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.22.29.2;"Security Update for Microsoft Office 2010 (KB2881071) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Security Update for Microsoft Office 2010 (KB2810073) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Update for Microsoft Office 2010 (KB2589375) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Update for Microsoft Outlook 2010 (KB2687567) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Update for Microsoft PowerPoint 2010 (KB2837579) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Update for Microsoft Filter Pack 2.0 (KB2878281) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Update for Microsoft Office 2010 (KB2837581) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Update for Microsoft Visio Viewer 2010 (KB2837587) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Update for Microsoft InfoPath 2010 (KB2817396) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Security Update for Microsoft Office 2010 (KB2687423) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Update for Microsoft InfoPath 2010 (KB2817369) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Update for Microsoft OneNote 2010 (KB2837595) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Update for Microsoft Office 2010 (KB2794737) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Security Update for Microsoft Office 2010 (KB2880971) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Definition Update for Microsoft Office 2010 (KB982726) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Security Update for Microsoft Office 2010 (KB2850016) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Update for Microsoft Visio 2010 (KB2880526) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Security Update for Microsoft Word 2010 (KB2883013) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Update for Microsoft Excel 2010 (KB2889836) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Update for Microsoft Office 2010 (KB2597087) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Update for Microsoft Office 2010 (KB2837606) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Update for Microsoft Office 2010 (KB2878252) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Update for Microsoft Access 2010 (KB2553446) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Update for Microsoft Office 2010 (KB2825640) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Update for Microsoft Office 2010 (KB2589298) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Update for Microsoft Office 2010 (KB2760598) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Update for Microsoft Office 2010 (KB2825635) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Update for Microsoft Office 2010 (KB2589352) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Update for Microsoft SharePoint Workspace 2010 (KB2760601) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Microsoft Office Standard 2010";"20150203";"14.0";"14.0.6029.1000";"Microsoft Corporation"
10.22.29.2;"Microsoft Office 2010 Service Pack 1 (SP1)";"";"";"";"Microsoft"
10.22.29.2;"Security Update for Microsoft Outlook 2010 (KB2837597) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Microsoft Office Access MUI (Portuguese (Brazil)) 2010";"20150201";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.22.29.2;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Microsoft Office Excel MUI (Portuguese (Brazil)) 2010";"20140904";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.22.29.2;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Microsoft Office PowerPoint MUI (Portuguese (Brazil)) 2010";"20140904";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.22.29.2;"Update for Microsoft PowerPoint 2010 (KB2837579) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Microsoft Office Publisher MUI (Portuguese (Brazil)) 2010";"20140904";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.22.29.2;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Microsoft Office Outlook MUI (Portuguese (Brazil)) 2010";"20140904";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.22.29.2;"Update for Microsoft Outlook 2010 (KB2687567) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Microsoft Office Word MUI (Portuguese (Brazil)) 2010";"20140904";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.22.29.2;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Microsoft Office Proof (English) 2010";"20140904";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.22.29.2;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Update for Microsoft Office 2010 (KB2687502) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Update for Microsoft Office 2010 (KB2687502) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Microsoft Office Proof (Portuguese (Brazil)) 2010";"20140904";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.22.29.2;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Security Update for Microsoft Office 2010 (KB2878284) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Security Update for Microsoft Office 2010 (KB2878284) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Microsoft Office Proof (Spanish) 2010";"20140904";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.22.29.2;"Update for Microsoft Office 2010 (KB2881028) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Update for Microsoft Office 2010 (KB2881028) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Update for Microsoft Filter Pack 2.0 (KB2878281) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Update for Microsoft OneNote 2010 (KB2837595) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Update for Microsoft Office 2010 (KB2760598) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Update for Microsoft Office 2010 (KB2589352) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Update for Microsoft SharePoint Workspace 2010 (KB2760601) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Update for Microsoft Filter Pack 2.0 (KB2878281) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Update for Microsoft OneNote 2010 (KB2837595) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Update for Microsoft Office 2010 (KB2760598) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Update for Microsoft Office 2010 (KB2589352) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Update for Microsoft SharePoint Workspace 2010 (KB2760601) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.22.29.2;"Microsoft Office Proofing (Portuguese (Brazil)) 2010";"20140904";"14.0";"14.0.7015.1000";"Microsoft Corporation"
