10.2.102.31;"BRQ\anakrieger"
10.2.102.32;"BRQ\reamco"
10.2.102.33;"BRQ\eduardofigueiredo"
10.2.102.34;"BRQ\mcardoso"
10.2.102.37;"BRQ\gnigro"
10.2.10.240;"BRQ\eduardomendes"
10.2.102.41;"BRQ\rafaelmedeiros"
10.2.102.42;"BRQ\juarezsilva"
10.2.102.43;"BRQ\JOAOARAUJO"
10.2.10.244;"BRQ\jaquelinetoliveira"
10.2.102.47;"BRQ\thiagoribeiro"
10.2.102.52;"BRQ\josealbernaz"
10.2.102.55;"BRQ\prfernandes"
10.2.10.25;"BRQ\mateusgarrido"
10.2.102.62;"BRQ\rnascimento"
10.2.102.63;"BRQ\dmarcondes"
10.2.102.67;"BRQ\jksilva"
10.2.102.69;"BRQ\dsuarez"
10.2.10.26;"BRQ\naujalis"
10.2.102.70;"BRQ\cmazzini"
10.2.102.71;"BRQ\jgauciniski"
10.2.102.72;"BRQ\rcrocha"
10.2.102.77;"BRQ\pmatta"
10.2.102.81;"BRQ\jguilherme"
10.2.102.84;"BRQ\cfroes"
10.2.102.85;"BRQ\vtsilva"
10.2.102.88;"BRQ\natanoliveira"
10.2.102.90;"BRQ\elisabete"
10.2.102.92;"BRQ\gilmarfranca"
10.2.102.93;"BRQ\gsoliveira"
10.2.102.95;"BRQ\andrecastro"
10.2.103.0;"BRQ\ncosta"
10.2.103.105;"BRQ\mariaborges"
10.2.103.112;"BRQ\pabloalbertbarbosa"
10.2.103.116;"BRQ\vcastro"
10.2.103.117;"BRQ\arthurgivigir"
10.2.103.12;"BRQ\lcastro"
10.2.103.137;"BRQ\cintiacaetano"
10.2.103.140;"BRQ\jadecsilveira"
10.2.103.142;"BRQ\gjunior"
10.2.103.143;"BRQ\helvioperes"
10.2.103.148;"BRQ\vivianyrodrigues"
10.2.103.14;"BRQ\apezzino"
10.2.103.151;"BRQ\joilduarte"
10.2.103.152;"BRQ\nflima"
10.2.103.154;"BRQ\virginiaeich"
10.2.103.156;"BRQ\rvieira_fteo"
10.2.103.159;"BRQ\eduardosousa"
10.2.103.166;"BRQ\gizelesilva"
10.2.103.172;"BRQ\lnsilva"
10.2.103.177;"BRQ\wallisonfreire"
10.2.103.179;"BRQ\emirmoreira"
10.2.103.181;"BRQ\ivanwrigg"
10.2.103.187;"BRQ\rcgomes"
10.2.103.18;"BRQ\mpaschoal"
10.2.103.191;"BRQ\rcgomes"
10.2.103.22;"BRQ\carlosfurtado"
10.2.103.23;"BRQ\thompson"
10.2.103.25;"BRQ\jlello"
10.2.103.26;"BRQ\marcosgribel"
10.2.103.29;"BRQ\apezzino"
10.2.103.38;"BRQ\rnovaes"
10.2.103.45;"BRQ\caiogreco"
