10.2.67.80;"Microsoft Office Proofing (Portuguese (Brazil)) 2010";"20150730";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.2.67.80;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Update for Microsoft Office 2010 (KB2553347) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Microsoft Office Shared MUI (Portuguese (Brazil)) 2010";"20150730";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.2.67.80;"Security Update for Microsoft Office 2010 (KB2863817) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Security Update for Microsoft Office 2010 (KB2956076) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Update for Microsoft Office 2010 (KB2553347) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Update for Microsoft Office 2010 (KB2553140) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Microsoft Office OneNote MUI (Portuguese (Brazil)) 2010";"20150730";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.2.67.80;"Update for Microsoft Office 2010 (KB2553347) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Update for Microsoft OneNote 2010 (KB2956075) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Microsoft Office File Validation Add-In";"20141114";"14.0";"14.0.5130.5003";"Microsoft Corporation"
10.2.67.80;"Security Update for Microsoft .NET Framework 4.5.2 (KB3023224)";"";"";"1";"Microsoft Corporation"
10.2.67.80;"Security Update for Microsoft .NET Framework 4.5.2 (KB3035490)";"";"";"1";"Microsoft Corporation"
10.2.67.80;"Microsoft Application Error Reporting";"20111107";"12.0";"12.0.6012.5000";"Microsoft Corporation"
10.2.67.80;"Windows Live Messenger";"20111020";"14.0";"14.0.8117.0416";"Microsoft Corporation"
10.2.67.80;"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"20111114";"9.0";"9.0.30729.6161";"Microsoft Corporation"
10.2.67.80;"Google Update Helper";"20141115";"1.3";"1.3.25.11";"Google Inc."
10.2.67.80;"tools-solaris";"20140625";"9.6";"9.6.1.1379776";"VMware, Inc."
10.2.67.80;"Citrix Receiver(DV)";"20140927";"14.1";"14.1.0.0";"Citrix Systems, Inc."
10.2.67.80;"tools-winPre2k";"20140625";"9.6";"9.6.1.1379776";"VMware, Inc."
10.2.67.80;"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4974";"20111107";"9.0";"9.0.30729.4974";"Microsoft Corporation"
10.2.67.80;"Microsoft Visual Studio 2008 Shell (integrated mode) - ENU";"20141114";"9.0";"9.0.30729";"Microsoft Corporation"
10.2.67.80;"Citrix Receiver (HDX Flash Redirection)";"20140927";"14.1";"14.1.0.0";"Citrix Systems, Inc."
10.2.67.80;"Citrix Authentication Manager";"20140927";"5.1";"5.1.0.62606";"Citrix Systems, Inc."
10.2.67.80;"Microsoft Report Viewer Redistributable 2008 (KB971119)";"20120130";"9.0";"9.0.30731";"Microsoft Corporation"
10.2.67.80;"tools-linux";"20140625";"9.6";"9.6.1.1379776";"VMware, Inc."
10.2.67.80;"Sophos Anti-Virus";"20150731";"10.3";"10.3.15";"Sophos Limited"
10.2.67.80;"Citrix Receiver Inside";"20140927";"4.1";"4.1.0.56471";"Citrix Systems, Inc."
10.2.67.80;"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219";"20141114";"10.0";"10.0.40219";"Microsoft Corporation"
10.2.67.80;"Microsoft Choice Guard";"20111020";"2.0";"2.0.48.0";"Microsoft Corporation"
10.2.67.80;"Intel(R) Processor Graphics";"";"8.15";"8.15.10.2476";"Intel Corporation"
10.2.67.80;"Online Plug-in";"20140927";"14.1";"14.1.0.0";"Citrix Systems, Inc."
10.2.67.80;"Chrome Remote Desktop Host";"20150624";"44.0";"44.0.2403.25";"Google Inc."
10.2.67.80;"Sophos Remote Management System";"20150616";"4.0";"4.0.2";"Sophos Limited"
10.2.67.80;"tools-windows";"20140625";"9.6";"9.6.1.1379776";"VMware, Inc."
10.2.67.80;"Microsoft Visual Studio 2010 Tools for Office Runtime (x64)";"";"";"10.0.50903";"Microsoft Corporation"
