10.2.75.137;"Microsoft Office OneNote MUI (Portuguese (Brazil)) 2007";"20141002";"12.0";"12.0.6612.1000";"Microsoft Corporation"
10.2.75.137;"Microsoft Office 2007 Service Pack 3 (SP3)";"";"";"";"Microsoft"
10.2.75.137;"Microsoft Office Groove MUI (Portuguese (Brazil)) 2007";"20141002";"12.0";"12.0.6612.1000";"Microsoft Corporation"
10.2.75.137;"Microsoft Office 2007 Service Pack 3 (SP3)";"";"";"";"Microsoft"
10.2.75.137;"Microsoft Office O MUI (Portuguese (Brazil)) 2007";"20141003";"12.0";"12.0.6612.1000";"Microsoft Corporation"
10.2.75.137;"Update for Microsoft Office 2007 suites (KB2596620) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Microsoft Office 2007 Service Pack 3 (SP3)";"";"";"";"Microsoft"
10.2.75.137;"Microsoft Office X MUI (Portuguese (Brazil)) 2007";"20141002";"12.0";"12.0.6612.1000";"Microsoft Corporation"
10.2.75.137;"Microsoft Office 2007 Service Pack 3 (SP3)";"";"";"";"Microsoft"
10.2.75.137;"Microsoft Office Professional Plus 2010";"20150814";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.2.75.137;"Security Update for Microsoft Word 2010 (KB3055039) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft Office 2010 (KB2589318) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft Office 2010 (KB2687275) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Security Update for Microsoft Office 2010 (KB2881071) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft Access 2010 (KB2965300) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft Office 2010 (KB3054964) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft OneNote 2010 (KB2965297) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Security Update for Microsoft Office 2010 (KB2598244) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Security Update for Microsoft Office 2010 (KB2810073) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft Office 2010 (KB3054962) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Security Update for Microsoft PowerPoint 2010 (KB3055033) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft Office 2010 (KB2589375) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft Visio Viewer 2010 (KB2881021) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Security Update for Microsoft Excel 2010 (KB3055044) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft Office 2010 (KB2760631) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft InfoPath 2010 (KB2817396) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft Office 2010 (KB2494150)";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft Office 2010 (KB2965301) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Security Update for Microsoft Office 2010 (KB2553313) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft Outlook 2010 (KB3055041) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Security Update for Microsoft Visio 2010 (KB3054876) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Definition Update for Microsoft Office 2010 (KB3054979) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Security Update for Microsoft Office 2010 (KB2687423) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft InfoPath 2010 (KB2817369) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft Office 2010 (KB2794737) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Security Update for Microsoft Office 2010 (KB2880971) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Security Update for Microsoft Office 2010 (KB2850016) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft Office 2010 (KB2553347) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft Office 2010 (KB2553140) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Security Update for Microsoft Office 2010 (KB2965310) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft Office 2010 (KB3054873) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft Office 2010 (KB2597087) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft Office 2010 (KB2589386) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Security Update for Microsoft Office 2010 (KB2920748) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft Office 2010 (KB2825640) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Security Update for Microsoft Office 2010 (KB3054848) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft Office 2010 (KB2883019) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft Office 2010 (KB2589282) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft Office 2010 (KB2589298) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft Outlook Social Connector 2010 (KB2553308) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft Filter Pack 2.0 (KB2881026) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft Office 2010 (KB2825635) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft Office 2010 (KB2589352) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft SharePoint Workspace 2010 (KB2760601) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Microsoft Office Access MUI (Portuguese (Brazil)) 2010";"20150803";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.2.75.137;"Update for Microsoft Office 2010 (KB2553347) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Microsoft Office Excel MUI (Portuguese (Brazil)) 2010";"20150803";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.2.75.137;"Update for Microsoft Office 2010 (KB2553347) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft Excel 2010 (KB2956084) 32-Bit Edition";"";"";"";"Microsoft"
